file_id,rt,stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,word,color,response,stim_type,correct
data_2019-10-07-09-34-56_ofju4gxtwg,1586,Welcome to the experiment. Press any key to begin.,32,html-keyboard-response,0,1587,0.0-0.0,NA,NA,NA,NA,NA
data_2019-10-07-09-34-56_ofju4gxtwg,819,"<p>In this task, you will see word in a color</p><p style='color:red;font-size:60pt;'>BLUE</p><p>Press r, g, b, or y to identify the color, not the word</p><p>E.g., press r for red in this example</p><p>Press any key to begin.</p>",32,html-keyboard-response,1,2407,0.0-1.0,NA,NA,NA,NA,NA
data_2019-10-07-09-34-56_ofju4gxtwg,760,<p id = 'stroop_stim' style = 'color: yellow; font-size: 60pt;'>blue</p>,89,html-keyboard-response,2,4168,0.0-2.0-0.0,blue,yellow,y,incongruent,TRUE
data_2019-10-07-09-34-56_ofju4gxtwg,675,<p id = 'stroop_stim' style = 'color: green; font-size: 60pt;'>yellow</p>,71,html-keyboard-response,3,6489,0.0-2.0-0.1,yellow,green,g,incongruent,TRUE
data_2019-10-07-09-34-56_ofju4gxtwg,720,<p id = 'stroop_stim' style = 'color: blue; font-size: 60pt;'>blue</p>,66,html-keyboard-response,4,9089,0.0-2.0-0.2,blue,blue,b,congruent,TRUE
data_2019-10-07-09-34-56_ofju4gxtwg,732,<p id = 'stroop_stim' style = 'color: green; font-size: 60pt;'>blue</p>,71,html-keyboard-response,5,11720,0.0-2.0-0.3,blue,green,g,incongruent,TRUE
data_2019-10-07-09-34-56_ofju4gxtwg,643,<p id = 'stroop_stim' style = 'color: red; font-size: 60pt;'>red</p>,82,html-keyboard-response,6,14282,0.0-2.0-0.4,red,red,r,congruent,TRUE
data_2019-10-07-09-34-56_ofju4gxtwg,651,<p id = 'stroop_stim' style = 'color: yellow; font-size: 60pt;'>green</p>,89,html-keyboard-response,7,16418,0.0-2.0-0.5,green,yellow,y,incongruent,TRUE
data_2019-10-07-09-34-56_ofju4gxtwg,523.9999999999964,<p id = 'stroop_stim' style = 'color: yellow; font-size: 60pt;'>yellow</p>,89,html-keyboard-response,8,18333,0.0-2.0-0.6,yellow,yellow,y,congruent,TRUE
data_2019-10-07-09-34-56_ofju4gxtwg,734,<p id = 'stroop_stim' style = 'color: blue; font-size: 60pt;'>red</p>,66,html-keyboard-response,9,20547,0.0-2.0-0.7,red,blue,b,incongruent,TRUE
data_2019-10-07-09-34-56_ofju4gxtwg,720,<p id = 'stroop_stim' style = 'color: green; font-size: 60pt;'>green</p>,71,html-keyboard-response,10,22167,0.0-2.0-0.8,green,green,g,congruent,TRUE
data_2019-10-07-09-34-56_ofju4gxtwg,1266.0000000000036,<p id = 'stroop_stim' style = 'color: blue; font-size: 60pt;'>yellow</p>,66,html-keyboard-response,11,24096,0.0-2.0-0.9,yellow,blue,b,incongruent,TRUE
data_2019-10-07-09-34-56_ofju4gxtwg,709,<p id = 'stroop_stim' style = 'color: yellow; font-size: 60pt;'>red</p>,89,html-keyboard-response,12,25415,0.0-2.0-0.10,red,yellow,y,incongruent,TRUE
data_2019-10-07-09-34-56_ofju4gxtwg,921.9999999999964,<p id = 'stroop_stim' style = 'color: blue; font-size: 60pt;'>green</p>,66,html-keyboard-response,13,27144,0.0-2.0-0.11,green,blue,b,incongruent,TRUE
data_2019-10-07-09-34-56_ofju4gxtwg,818,<p id = 'stroop_stim' style = 'color: red; font-size: 60pt;'>yellow</p>,82,html-keyboard-response,14,28772,0.0-2.0-0.12,yellow,red,r,incongruent,TRUE
data_2019-10-07-09-34-56_ofju4gxtwg,740.0000000000036,<p id = 'stroop_stim' style = 'color: red; font-size: 60pt;'>blue</p>,82,html-keyboard-response,15,30750,0.0-2.0-0.13,blue,red,r,incongruent,TRUE
data_2019-10-07-09-34-56_ofju4gxtwg,821.9999999999964,<p id = 'stroop_stim' style = 'color: red; font-size: 60pt;'>green</p>,82,html-keyboard-response,16,33510,0.0-2.0-0.14,green,red,r,incongruent,TRUE
data_2019-10-07-09-34-56_ofju4gxtwg,964,<p id = 'stroop_stim' style = 'color: green; font-size: 60pt;'>red</p>,71,html-keyboard-response,17,35790,0.0-2.0-0.15,red,green,g,incongruent,TRUE
data_2019-10-07-09-34-56_ofju4gxtwg,1331,<p>You responded correctly on <strong>100%</strong> of the trials.</p> <p>Your average response time for congruent trials was <strong>652ms</strong>.</p><p>Your average response time for incongruent trials was <strong>816ms</strong>.</p><p>Press any key to complete the experiment. Thank you!</p>,32,html-keyboard-response,18,37650,0.0-3.0,NA,NA,NA,NA,NA
