file_id,rt,stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,word,color,response,stim_type,correct
data_2019-10-07-09-20-50_slqxbagf5v,1161,Welcome to the experiment. Press any key to begin.,32,html-keyboard-response,0,1162,0.0-0.0,NA,NA,NA,NA,NA
data_2019-10-07-09-20-50_slqxbagf5v,957,"<p>In this task, you will see word in a color</p><p style='color:red;font-size:60pt;'>BLUE</p><p>Press r, g, b, or y to identify the color, not the word</p><p>E.g., press r for red in this example</p><p>Press any key to begin.</p>",32,html-keyboard-response,1,2119,0.0-1.0,NA,NA,NA,NA,NA
data_2019-10-07-09-20-50_slqxbagf5v,907,<p id = 'stroop_stim' style = 'color: yellow; font-size: 60pt;'>blue</p>,89,html-keyboard-response,2,4028,0.0-2.0-0.0,blue,yellow,y,incongruent,TRUE
data_2019-10-07-09-20-50_slqxbagf5v,508.9999999999991,<p id = 'stroop_stim' style = 'color: yellow; font-size: 60pt;'>green</p>,89,html-keyboard-response,3,5903,0.0-2.0-0.1,green,yellow,y,incongruent,TRUE
data_2019-10-07-09-20-50_slqxbagf5v,805.9999999999991,<p id = 'stroop_stim' style = 'color: red; font-size: 60pt;'>green</p>,82,html-keyboard-response,4,8615,0.0-2.0-0.2,green,red,r,incongruent,TRUE
data_2019-10-07-09-20-50_slqxbagf5v,764,<p id = 'stroop_stim' style = 'color: yellow; font-size: 60pt;'>yellow</p>,89,html-keyboard-response,5,9936,0.0-2.0-0.3,yellow,yellow,y,congruent,TRUE
data_2019-10-07-09-20-50_slqxbagf5v,535,<p id = 'stroop_stim' style = 'color: red; font-size: 60pt;'>red</p>,82,html-keyboard-response,6,12271,0.0-2.0-0.4,red,red,r,congruent,TRUE
data_2019-10-07-09-20-50_slqxbagf5v,958,<p id = 'stroop_stim' style = 'color: blue; font-size: 60pt;'>green</p>,66,html-keyboard-response,7,14009,0.0-2.0-0.5,green,blue,b,incongruent,TRUE
data_2019-10-07-09-20-50_slqxbagf5v,737,<p id = 'stroop_stim' style = 'color: red; font-size: 60pt;'>yellow</p>,82,html-keyboard-response,8,16486,0.0-2.0-0.6,yellow,red,r,incongruent,TRUE
data_2019-10-07-09-20-50_slqxbagf5v,778,<p id = 'stroop_stim' style = 'color: green; font-size: 60pt;'>yellow</p>,71,html-keyboard-response,9,18809,0.0-2.0-0.7,yellow,green,g,incongruent,TRUE
data_2019-10-07-09-20-50_slqxbagf5v,511,<p id = 'stroop_stim' style = 'color: green; font-size: 60pt;'>green</p>,71,html-keyboard-response,10,20438,0.0-2.0-0.8,green,green,g,congruent,TRUE
data_2019-10-07-09-20-50_slqxbagf5v,704,<p id = 'stroop_stim' style = 'color: red; font-size: 60pt;'>blue</p>,82,html-keyboard-response,11,21799,0.0-2.0-0.9,blue,red,r,incongruent,TRUE
data_2019-10-07-09-20-50_slqxbagf5v,456,<p id = 'stroop_stim' style = 'color: blue; font-size: 60pt;'>blue</p>,66,html-keyboard-response,12,24250,0.0-2.0-0.10,blue,blue,b,congruent,TRUE
data_2019-10-07-09-20-50_slqxbagf5v,704,<p id = 'stroop_stim' style = 'color: yellow; font-size: 60pt;'>red</p>,89,html-keyboard-response,13,26224,0.0-2.0-0.11,red,yellow,y,incongruent,TRUE
data_2019-10-07-09-20-50_slqxbagf5v,788,<p id = 'stroop_stim' style = 'color: green; font-size: 60pt;'>red</p>,71,html-keyboard-response,14,28975,0.0-2.0-0.12,red,green,g,incongruent,TRUE
data_2019-10-07-09-20-50_slqxbagf5v,480.00000000000364,<p id = 'stroop_stim' style = 'color: green; font-size: 60pt;'>blue</p>,71,html-keyboard-response,15,30665,0.0-2.0-0.13,blue,green,g,incongruent,TRUE
data_2019-10-07-09-20-50_slqxbagf5v,715,<p id = 'stroop_stim' style = 'color: blue; font-size: 60pt;'>yellow</p>,66,html-keyboard-response,16,33064,0.0-2.0-0.14,yellow,blue,b,incongruent,TRUE
data_2019-10-07-09-20-50_slqxbagf5v,570,<p id = 'stroop_stim' style = 'color: blue; font-size: 60pt;'>red</p>,66,html-keyboard-response,17,34666,0.0-2.0-0.15,red,blue,b,incongruent,TRUE
data_2019-10-07-09-20-50_slqxbagf5v,7108.000000000007,<p>You responded correctly on <strong>89%</strong> of the trials.</p> <p>Your average response time for congruent trials was <strong>567ms</strong>.</p><p>Your average response time for incongruent trials was <strong>721ms</strong>.</p><p>Press any key to complete the experiment. Thank you!</p>,32,html-keyboard-response,18,42771,0.0-3.0,NA,NA,NA,NA,NA
